"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2693.30822060299","2845.60361323316","3268.26178773036","3970.3408259069","5360.77646724953","5821.67054543437","6230.14808916799","6333.05472038811","6772.4116881475","7464.61971806463","8209.79944618221","9726.55651074931","10265.898275923","9401.31511196948","10077.625751292","9143.59547754112","9068.2674393445","9275.18536955361","11428.2446539671","14142.9932485981","14135.1069903041","14609.7477337329","14426.6270544977","13911.9153581495","14380.8521291906","16066.2021198462","17302.439721726","18594.935881684","16956.5535574665","16331.3107108789","17034.2221068743","15438.1486489493","15976.3103057617","18692.337048933","24091.0117907399","26280.9433417106","27559.6124488709","30843.9686913718","37366.9404723982","32979.262240343","39980.7729946189","47843.2868847361","52881.8055974622","52930.0582705934","48159.3603837149","43915.7218145179","38660.7345064152","41489.4767632325","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1762.56053511295","2036.0060683217","2500.07979557693","3335.02238870055","3961.72477189911","4503.88476064136","4861.07170942664","5805.19411718777","6962.61105032422","8321.79579340095","9183.40132065278","7873.30509292586","7903.73665214509","8045.29583385904","7576.8122787539","7745.85562454727","11022.9145542506","13795.3569527224","14932.6178108373","14856.4298663889","18393.932170429","18952.3610646075","21060.4261515806","20274.4714368037","21562.8910273354","25380.6830480639","25025.166217392","22310.8014317991","22807.9681400837","22388.0847658951","20329.2412642126","20180.9451321311","21814.0096161255","26659.6667238899","30503.8753868351","31819.358871933","33999.8911796331","39077.7214518561","43498.371281084","39512.6000237855","38977.2071273785","42632.9286669921","40022.5184450149","41671.4333103649","42479.1664976267","35800.0952506852","37002.0495992453","38747.991332317","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449.282926806515","406.872603508256","367.793770097695","439.266625233126","551.036930496227","651.544116827502","739.645073155036","941.506652122097","1356.97576920618","2043.28312219304","3173.06879428394","3338.00712312663","3868.82851990262","4679.51795090778","5181.21660440766","5743.26363739069","6031.87997113455","4423.44996481787","2994.07077046615","3146.65431259243","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","171.548571659511","177.888406061098","172.421830138608","187.773409582892","164.763160347967","187.925994273082","184.495825484269","164.157298827911","151.940720232608","152.152016774992","146.844360299316","150.838398012266","133.998713605151","113.380284379159","105.688641439024","100.818489689853","79.0794209903941","95.5206103155544","83.297343220557","88.1465715829926","97.2149527090637","86.8936247178832","72.8628328362125","48.2058716220086","65.8651034274919","85.1033081838366","102.405858239698","91.8018774968243","105.376173542279","119.66135112303","149.049398763064","155.847108430058","178.531532422688","182.713193938756","196.12591851609","222.667016981554","202.295797468033","212.184466225368","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2419.86617651744","2701.93474832221","3362.3499844418","4323.64745718921","5042.86899123084","5898.61015341841","6418.98812099097","7391.69810815342","9060.60374625941","10259.1476303609","10973.0796602033","8916.50405760345","7833.48824448816","7414.73796691995","7150.00874567249","7434.39332759383","10401.0125840274","13010.8978402597","14165.7355634212","14201.1917011747","17775.4384090306","18160.8346385229","20085.4799344766","19385.182920052","21206.4254160694","24723.1329926753","23909.9063133362","21600.6582760466","22000.8793621548","21789.3837499445","19918.9287345899","19585.4183974444","21177.4141888852","25925.4738750695","29906.9379199965","30912.0440629218","32358.9915045076","36992.5757132596","40516.280621968","36207.8403167584","37246.5542732993","38918.8098326126","37079.6019848252","38281.7330616043","38400.6207484764","32405.961741241","33605.8659895537","35803.8562832135","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","106.317540877992","127.821361279794","154.39741483332","166.67925751526","196.774812535834","195.406294654785","205.504299903962","246.565323195878","306.755945027978","352.444996849435","316.182938942721","295.899056840587","244.801949678581","222.716870659716","217.959527816417","273.928842781408","307.698692382859","311.887827080637","273.925152387293","347.365193676108","341.303959521152","270.403895381427","356.548959073178","234.193061547832","308.817289909424","321.481260396734","298.352101879045","315.557753183114","337.841395816178","315.635083925378","320.383255796423","355.054692761826","440.685213484918","498.092601906111","517.42356816438","534.092232804661","598.251834493037","697.505049010687","668.802943907507","637.332425990881","697.188986271348","702.199776557442","765.858650989215","789.161321755792","652.065105432258","656.900219966229","686.742052655336","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","263.832329914141","235.374286216413","224.508204957683","198.647664263463","175.665967710477","183.208150031322","233.135945820607","262.60685153676","281.272682083891","273.127982356148","313.73194286142","308.587978465216","210.906104196953","214.43281642542","164.460928271191","199.055034628584","213.593529100718","195.830387926703","218.809352403176","238.56169095511","205.944825616674","214.723528058732","238.232428223067","302.79714515366","333.053217543229","360.594347258094","370.438519319129","411.594767955134","484.391639296902","460.704345197838","454.632897124803","500.957497450223","517.291810938065","544.049444877283","540.453634633242","421.027580409023","414.335895732009","456.95891911904","",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","110.224047952903","168.428060040716","254.617385066447","128.994967036222","117.64363751815","158.870119507658","183.16433047974","208.487411132805","231.137133667665","205.553543671457","193.223536170768","202.532622592712","230.035139230164","219.273404311357","239.240104765933","254.437927832948","268.715157536313","287.012479376398","275.115484104084","276.049278683621","283.659948312872","283.77682219479","311.855022928659","372.049742755228","379.69214625898","385.395908794417","388.188333990378","396.837682174145","392.617884159063","394.456563711498","426.341218508403","455.850246827846","479.124157396548","488.753537229812","539.91808219447","622.976599403439","693.202656979821","771.853781928299","845.018937469473","872.403149893164","964.94181346748","1081.97474261525","1212.70888586835","1352.19019567751","1483.83391139082","",
"Bulgaria","BGR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1884.83972771733","1892.52696393362","1838.23497564067","1579.32685922068","1681.87940434361","1634.18120799723","1930.73103430177","2663.40220787618","2090.62879131024","2031.83787318031","1834.61742189512","953.391196672936","1027.83515798463","1077.65308365383","997.468121964402","1342.9140398436","1041.00061159812","1197.63329189471","1564.05253864665","1363.03026290997","1356.60254784087","1529.51752595583","1838.33411456867","2347.14646815367","2909.54644834605","3298.14484266278","3684.69937689394","4593.20937580336","5974.0181480848","5802.6446676699","5580.3422267071","6347.04989497047","6166.78159244071","6365.92673022636","6573.65698900544","5797.31143485948","6334.05966940757","7103.72461901333","",
